zone_name,city,state,dist_to_us_border_km,dist_to_ensenada_port_km,closer_to_border_than_port
Vesta Park Tijuana,Tijuana,Baja California,6.9,80.1,True
FINSA Tijuana Industrial Park,Tijuana,Baja California,8.5,80.9,True
FINSA Tijuana Alamar Industrial Park,Tijuana,Baja California,12.4,76.9,True
FINSA Mexicali Industrial Park,Mexicali,Baja California,148.4,140.6,False
Rio Bravo Industrial Park,Ciudad Juarez,Chihuahua,998.4,960.8,False
Intermex Industrial Park Ciudad Juarez,Ciudad Juarez,Chihuahua,1004.9,966.9,False
FINSA Monterrey Industrial Park,Apodaca,Nuevo Leon,1798.9,1738.0,False
Stiva Airport Industrial Park,Apodaca,Nuevo Leon,1799.1,1738.2,False
Puerto Interior Industrial Park,Silao,Guanajuato,2003.6,1928.5,False
FINSA Guanajuato Industrial Park,Silao,Guanajuato,2010.9,1935.8,False
Vesta Park Queretaro,Queretaro,Queretaro,2117.1,2042.9,False
FINSA Queretaro Industrial Park,El Marques,Queretaro,2126.7,2052.8,False
